小学名称,年份,升学总人数,Band 1人数,Band 1比例,主要升学中学及Band信息
保良局陳守仁小學,2023,120,88,73.33%,拔萃女書院(Band 1A):1人; 德望學校(Band 1A):3人; 協恩中學(Band 1A):1人; 港大同學會書院(Band 1A):10人; 寶血會上智英文書院(Band 1A):1人
保良局陳守仁小學,2024,120,99,82.5%,庇理羅士女子中學(Band 1A):1人; 拔萃女書院(Band 1A):3人; 德望學校(Band 1A):3人; 協恩中學(Band 1A):5人; 港大同學會書院(Band 1A):12人
保良局陳守仁小學,2025,120,105,87.5%,張祝珊英文中學(Band 1A):1人; 拔萃女書院(Band 1A):2人; 德望學校(Band 1A):7人; 協恩中學(Band 1A):2人; 港大同學會書院(Band 1A):7人
聖公會主風小學,2025,96,45,46.88%,聖公會曾肇添中學(Band 1A):12人; 浸信會呂明才中學(Band 1A):1人; 沙田崇真中學(Band 1A):1人; 聖公會林裘謀中學(Band 1B):4人; 沙田培英中學(Band 1B):5人
東華三院冼次雲小學,2024,96,35,36.46%,沙田崇真中學(Band 1A):2人; 浸信會呂明才中學(Band 1A):1人; 聖公會曾肇添中學(Band 1A):2人; 沙田蘇浙公學(Band 1B):5人; 聖羅撒書院(Band 1B):1人
東華三院冼次雲小學,2025,96,24,25.0%,沙田崇真中學(Band 1A):5人; 浸信會呂明才中學(Band 1A):1人; 沙田蘇浙公學(Band 1B):3人; 沙田培英中學(Band 1B):1人; 沙田官立中學(Band 1B):4人
愛秩序灣官立小學,2025,120,33,27.5%,皇仁書院(Band 1A):9人; 筲箕灣官立中學(Band 1C):24人; 金文泰中學(Band 2B):4人; 其他(未知):0人
聖公會德田李兆強小學,2025,120,92,76.67%,英皇書院(Band 1A):3人; 聖士提反女子中學(Band 1A):2人; 聖保羅男女中學(Band 1A):1人; 皇仁書院(Band 1A):1人; 港大同學會書院(Band 1A):1人
聖公會李兆強小學,2025,120,75,62.5%,瑪利諾修院學校（中學部）(Band 1A):1人; 聖保羅書院(Band 1A):3人; 協恩中學(Band 1A):1人; 港大同學會書院(Band 1A):1人; 聖保祿學校(Band 1A):2人
陳瑞祺(喇沙)小學,2025,89,77,86.52%,喇沙書院(Band 1A):3人; 旅港開平商會中學(Band 1A):15人; 迦密中學(Band 1A):3人; 華英中學(Band 1A):5人; 瑪利諾修院學校（中學部）(Band 1A):1人
路德會聖馬太學校（秀茂坪）,2025,96,64,66.67%,聖保羅男女中學(Band 1A):1人; 瑪利諾修院學校（中學部）(Band 1A):1人; 張祝珊英文中學(Band 1A):1人; 保良局第一張永慶中學(Band 1A):2人; 聖言中學(Band 1A):5人
路德會梁鉅鏐小學,2025,120,61,50.83%,聖保羅男女中學(Band 1A):1人; 聖公會曾肇添中學(Band 1A):8人; 沙田崇真中學(Band 1A):5人; 浸信會呂明才中學(Band 1A):2人; 聖公會林裘謀中學(Band 1B):10人
軒尼詩道官立小學(銅鑼灣),2025,89,76,85.39%,皇仁書院(Band 1A):33人; 庇理羅士女子中學(Band 1A):5人; 聖保羅男女中學(Band 1A):1人; 英華女學校(Band 1A):1人; 協恩中學(Band 1A):1人
聖公會基顯小學,2025,96,32,33.33%,聖言中學(Band 1A):3人; 迦密中學(Band 1A):1人; 旅港開平商會中學(Band 1A):1人; 聖傑靈女子中學(Band 1B):7人; 順利天主教中學(Band 1B):7人
