小学名称,年份,升学总人数,Band 1人数,Band 1比例,主要升学中学及Band信息
中華基督教會基慧小學（馬灣）,2025,120,58,48.33%,聖保祿學校(Band 1A):3人; 英華書院(Band 1A):1人; 寶血會上智英文書院(Band 1A):1人; 荃灣官立中學(Band 1A):3人; 協恩中學(Band 1A):1人
聖公會阮鄭夢芹小學,2025,120,56,46.67%,迦密柏雨中学(Band 1A):15人; 圣公会莫寿增会督中学(Band 1A):8人; 沙田崇真中学(Band 1A):2人; 圣公会曾肇添中学(Band 1A):1人; 王肇枝中学(Band 1B):5人
聖公會主恩小學,2024,96,36,37.5%,聖公會林護紀念中學(Band 1A):1人; 佛教善德英文中學(Band 1A):11人; 協恩中學(Band 1A):2人; 中華傳道會安柱中學(Band 1B):2人; 天主教母佑會蕭明中學(Band 1B):8人
聖公會主恩小學,2025,96,32,33.33%,聖公會林護紀念中學(Band 1A):3人; 佛教善德英文中學(Band 1A):10人; 中華傳道會安柱中學(Band 1B):2人; 天主教母佑會蕭明中學(Band 1B):3人; 保祿六世書院(Band 1B):1人
天主教石鐘山紀念小學,2024,120,68,56.67%,協恩中學(Band 1A):1人; 聖公會林護紀念中學(Band 1A):1人; 荃灣官立中學(Band 1A):4人; 佛教善德英文中學(Band 1A):1人; 香港華仁書院(Band 1B):3人
天主教石鐘山紀念小學,2025,120,71,59.17%,協恩中學(Band 1A):1人; 浸信會呂明才中學(Band 1A):1人; 旅港開平商會中學(Band 1A):1人; 荃灣官立中學(Band 1A):2人; 華仁書院(九龍)(Band 1B):1人
聖公會阮鄭夢芹銀禧小學,2025,96,45,46.88%,圣公会曾肇添中学(Band 1A):2人; 圣公会莫寿增会督中学(Band 1A):10人; 迦密柏雨中学(Band 1A):15人; 沙田培英中学(Band 1B):1人; 九龙真光中学(Band 1B):1人
香港浸信會聯會小學,2024,120,63,52.5%,荃灣官立中學(Band 1A):5人; 佛教善德英文中學(Band 1A):1人; 聖保羅男女中學(Band 1A):1人; 英華女學校(Band 1A):1人; 協恩中學(Band 1A):1人
聖公會青衣主恩小學,2024,120,64,53.33%,聖公會林護紀念中學(Band 1A):4人; 佛教善德英文中學(Band 1A):6人; 協恩中學(Band 1A):1人; 德望學校(Band 1A):1人; 聖保羅書院(Band 1A):1人
聖公會青衣主恩小學,2025,120,66,55.0%,聖公會林護紀念中學(Band 1A):4人; 佛教善德英文中學(Band 1A):10人; 皇仁書院(Band 1A):1人; 荃灣官立中學(Band 1A):1人; 聖保羅書院(Band 1A):1人
聖公會蒙恩小學,2025,144,60,41.67%,顺德联谊总会梁𨱇琚中学(Band 1A):1人; 圣保罗书院(港岛中西区)(Band 1A):2人; 保良局百周年李兆忠纪念中学(Band 1A):1人; 英华书院(九龙长沙湾)(Band 1A):1人; 宣道会陈瑞芝纪念中学(Band 1B):15人
五旬節靳茂生小學,2025,96,49,51.04%,迦密柏雨中學(Band 1A):1人; 聖公會莫壽增會督中學(Band 1A):1人; 浸信會呂明才中學(Band 1A):1人; 香港道教聯合會鄧顯紀念中學(Band 1A):6人; 聖羅撒書院(Band 1B):1人
德信学校,2024,96,55,57.29%,圣言中学(Band 1A):1人; 沙田崇真中学(Band 1A):1人; 圣若瑟书院(Band 1B):4人; 华仁书院(九龙)(Band 1B):11人; 圣芳济书院(Band 1B):24人
德信学校,2025,96,47,48.96%,圣保罗书院(Band 1A):1人; 圣若瑟书院(Band 1B):3人; 华仁书院(九龙)(Band 1B):18人; 圣芳济书院(Band 1B):16人; 圣类斯中学(Band 1B):1人
馬鞍山靈糧小學,2024,120,38,31.67%,協恩中學(Band 1A):1人; 浸信會呂明才中學(Band 1A):5人; 聖公會曾肇添中學(Band 1A):2人; 沙田崇真中學(Band 1A):2人; 天主教郭得勝中學(Band 1B):2人
馬鞍山靈糧小學,2025,120,43,35.83%,浸信會呂明才中學(Band 1A):4人; 沙田崇真中學(Band 1A):3人; 聖公會曾肇添中學(Band 1A):2人; 聖公會林裘謀中學(Band 1B):5人; 聖羅撒書院(Band 1B):3人
保良局莊啟程小學,2025,96,33,34.38%,皇仁書院(Band 1A):1人; 沙田崇真中學(Band 1A):5人; 英華書院(Band 1A):2人; 聖公會曾肇添中學(Band 1A):1人; 浸信會呂明才中學(Band 1A):3人
仁濟醫院何式南小學,2025,96,19,19.79%,拔萃女書院(Band 1A):1人; 喇沙書院(Band 1A):1人; 保良局百周年李兆忠紀念中學(Band 1A):1人; 宣道會陳瑞芝紀念中學(Band 1B):2人; 順德聯誼總會譚伯羽中學(Band 1B):6人
青松侯寶垣小學,2025,120,58,48.33%,聖保羅書院(Band 1A):2人; 皇仁書院(Band 1A):1人; 英皇書院(Band 1A):2人; 英華女學校(Band 1A):2人; 聖士提反女子中學(Band 1A):1人
北角官立小學,2023,120,43,35.83%,聖保羅男女中學(Band 1A):1人; 皇仁書院(Band 1A):1人; 庇理羅士女子中學(Band 1A):6人; 張祝珊英文中學(Band 1A):4人; 香港中國婦女會中學(Band 1A):7人
北角官立小學,2024,120,54,45.0%,皇仁書院(Band 1A):1人; 庇理羅士女子中學(Band 1A):6人; 英皇書院(Band 1A):1人; 聖士提反女子中學(Band 1A):1人; 張祝珊英文中學(Band 1A):6人
北角官立小學,2025,120,63,52.5%,庇理羅士女子中學(Band 1A):7人; 聖保羅書院(Band 1A):1人; 聖士提反女子中學(Band 1A):1人; 張祝珊英文中學(Band 1A):6人; 香港中國婦女會中學(Band 1A):15人
保良局朱正賢小學,2025,96,47,48.96%,拔萃女書院(Band 1A):1人; 喇沙書院(Band 1A):1人; 港大同學會書院(Band 1A):1人; 聖公會曾肇添中學(Band 1A):7人; 沙田崇真中學(Band 1A):4人
元朗商會小學,2025,96,53,55.21%,喇沙書院(Band 1A):1人; 英華書院(Band 1A):1人; 順德聯誼總會梁銶琚中學(Band 1A):1人; 天主教崇德英文書院(Band 1A):1人; 基督教崇真中學(Band 1B):1人
聖公會置富始南小學,2025,72,32,44.44%,皇仁書院(Band 1A):1人; 張祝珊英文中學(Band 1A):1人; 英皇書院(Band 1A):1人; 中華基金中學(Band 1B):3人; 香港華仁書院(Band 1B):1人
仁濟醫院羅陳楚思小學,2025,120,36,30.0%,保良局董玉娣中學(Band 1A):6人; 保良局百周年李兆忠紀念中學(Band 1A):1人; 順德聯誼總會梁銶琚中學(Band 1A):1人; 香港九龍塘基督教中華宣道會陳瑞芝中學(Band 1B):13人; 馬錦明慈善基金馬可賓紀念中學(Band 1B):3人
聖公會聖安德烈小學,2024,144,8,5.56%,港大同學會書院(Band 1A):1人; 英華書院(Band 1A):1人; 華英中學(Band 1A):1人; 保良局顏寶鈴書院(Band 1B):1人; 香港浸會大學附屬學校王錦輝中小學(Band 1B):1人
聖公會聖安德烈小學,2025,144,47,32.64%,聖公會林護紀念中學(Band 1A):1人; 迦密中學(Band 1A):1人; 寶血會上智英文書院(Band 1A):4人; 佛教善德英文中學(Band 1A):1人; 中華基督教會銘賢書院(Band 1B):4人
沙田循道衞理小學,2025,92,42,45.65%,聖公會曾肇添中學(Band 1A):3人; 沙田崇真中學(Band 1A):1人; 沙田培英中學(Band 1B):4人; 聖公會林裘謀中學(Band 1B):3人; 沙田循道衞理中學(Band 1B):12人
聖公會聖紀文小學,2024,120,63,52.5%,英華書院(Band 1A):1人; 寶血會上智英文書院(Band 1A):4人; 皇仁書院(Band 1A):1人; 荃灣官立中學(Band 1A):2人; 聖言中學(Band 1A):1人
聖公會聖紀文小學,2025,120,61,50.83%,寶血會上智英文書院(Band 1A):8人; 聖公會林護紀念中學(Band 1A):1人; 荃灣官立中學(Band 1A):1人; 嘉諾撒聖瑪利書院(Band 1A):1人; 中華基督教會銘賢書院(Band 1B):21人
北角衞理小學,2025,96,44,45.83%,聖馬可中學(Band 1A):7人; 張祝珊英文中學(Band 1A):4人; 庇理羅士女子中學(Band 1A):1人; 香港中國婦女會中學(Band 1A):1人; 協恩中學(Band 1A):1人
合一堂學校,2025,96,44,45.83%,旅港開平商會中學(Band 1A):4人; 迦密中學(Band 1A):1人; 港大同學會書院(Band 1A):1人; 華英中學(Band 1A):5人; 華仁書院(九龍)(Band 1B):1人
曾梅千禧學校,2025,120,69,57.5%,聖保祿學校(Band 1A):1人; 協恩中學(Band 1A):2人; 德望學校(Band 1A):1人; 浸信會呂明才中學(Band 1A):1人; 天主教崇德英文書院(Band 1A):1人
香海正覺蓮社佛教正慧小學,2025,120,71,59.17%,聖保羅男女中學(Band 1A):1人; 聖保羅書院(Band 1A):1人; 協恩中學(Band 1A):1人; 聖公會曾肇添中學(Band 1A):1人; 聖公會莫壽增會督中學(Band 1A):2人
聖公會靈愛小學,2025,48,23,47.92%,天主教崇德英文書院(Band 1A):1人; 迦密柏雨中學(Band 1A):1人; 新界鄉議局元朗區中學(Band 1B):4人; 基督教香港信義會元朗信義中學(Band 1B):1人; 香港浸會大學附屬學校王錦輝中小學(Band 1B):1人
馬鞍山循道衞理小學,2025,127,56,44.09%,沙田崇真中學(Band 1A):5人; 浸信會呂明才中學(Band 1A):7人; 聖公會曾肇添中學(Band 1A):7人; 天主教郭得勝中學(Band 1B):3人; 五旬節林漢光中學(Band 1B):8人
伊利沙伯中學舊生會小學分校,2025,120,26,21.67%,天主教崇德英文書院(Band 1A):4人; 新界鄉議局元朗區中學(Band 1B):5人; 元朗信義中學(Band 1B):4人; 聖公會白約翰會督中學(Band 1C):2人; 東華三院盧幹庭紀念中學(Band 1C):3人
中華基督教會基法小學（油塘）,2024,144,70,48.61%,庇理羅士女子中學(Band 1A):1人; 張祝珊英文中學(Band 1A):1人; 華英中學(Band 1A):1人; 聖言中學(Band 1A):7人; 拔萃男書院(Band 1B):1人
北角官立小學(雲景道),2022,44,23,52.27%,皇仁書院(Band 1A):1人; 庇理羅士女子中學(Band 1A):1人; 香港中國婦女會中學(Band 1A):1人; 香港華仁書院(Band 1B):1人; 香港真光中學(Band 1B):1人
北角官立小學(雲景道),2023,70,27,38.57%,皇仁書院(Band 1A):2人; 英皇書院(Band 1A):1人; 張祝珊英文中學(Band 1A):2人; 香港中國婦女會中學(Band 1A):1人; 寶血會上智英文書院(Band 1A):1人
道教青松小學(湖景邨),2025,57,25,43.86%,保良局董玉娣中学(Band 1A):6人; 順德聯誼總會梁銶琚中學(Band 1A):1人; 保良局百周年李兆忠纪念中学(Band 1A):2人; 基督教中华宣道會陳瑞芝紀念中學(Band 1B):2人; 仁愛堂田家炳中學(Band 1B):5人
天水圍官立小學,2025,120,46,38.33%,協恩中學(Band 1A):1人; 華英中學(Band 1A):1人; 天主教崇德英文書院(Band 1A):3人; 新界鄉議局元朗區中學(Band 1B):3人; 基督教香港信義會元朗信義中學(Band 1B):1人
聖公會聖米迦勒小學,2022,96,54,56.25%,英華女學校(Band 1A):1人; 香港中國婦女會中學(Band 1A):7人; 聖瑪利書院(Band 1A):1人; 聖馬可中學(Band 1A):2人; 聖士提反女子中學(Band 1A):1人
聖公會聖米迦勒小學,2023,96,38,39.58%,張祝珊英文中學(Band 1A):14人; 香港中國婦女會中學(Band 1A):1人; 聖保羅書院(Band 1A):1人; 港大同學會書院(Band 1A):2人; 庇理羅士女子中學(Band 1A):2人
聖公會聖米迦勒小學,2024,96,42,43.75%,張祝珊英文中學(Band 1A):4人; 香港中國婦女會中學(Band 1A):8人; 聖馬可中學(Band 1A):6人; 庇理羅士女子中學(Band 1A):2人; 聖保羅男女中學(Band 1A):1人
聖公會聖米迦勒小學,2025,96,37,38.54%,張祝珊英文中學(Band 1A):10人; 聖保羅書院(Band 1A):1人; 聖士提反女子中學(Band 1A):1人; 香港中國婦女會中學(Band 1A):3人; 聖馬可中學(Band 1A):4人
寶血會伍季明紀念學校,2025,96,52,54.17%,荃灣官立中學(Band 1A):4人; 佛教善德英文中學(Band 1A):1人; 聖公會林護中學(Band 1A):1人; 可風中學(嗇色園主辦)(Band 1B):8人; 保良局羅傑承(一九八三)中學(Band 1B):1人
路德會聖十架學校,2025,96,24,25.0%,荃灣官立中學(Band 1A):1人; 聖公會曾肇添中學(Band 1A):1人; 可風中學（嗇色園主辦）(Band 1B):2人; 荃灣公立何傳耀紀念中學(Band 1B):2人; 寶安商會王少清中學(Band 1B):6人
救世軍田家炳學校,2025,96,37,38.54%,協恩中學(Band 1A):1人; 聖公會曾肇添中學(Band 1A):2人; 沙田崇真中學(Band 1A):1人; 浸信會呂明才中學(Band 1A):1人; 拔萃男書院(Band 1B):1人
聖公會榮真小學,2025,96,50,52.08%,香港道教聯合會鄧顯紀念中學(Band 1A):8人; 協恩中學(Band 1A):1人; 沙田崇真中學(Band 1A):1人; 天主教崇德英文書院(Band 1A):1人; 東華三院甲寅年總理中學(Band 1B):6人
丹拿山循道學校,2023,72,23,31.94%,張祝珊英文中學(Band 1A):3人; 聖馬可中學(Band 1A):2人; 香港中國婦女會中學(Band 1A):1人; 港大同學會書院(Band 1A):1人; 聖保祿學校(Band 1A):1人
丹拿山循道學校,2024,72,43,59.72%,聖保祿學校(Band 1A):3人; 港大同學會書院(Band 1A):2人; 張祝珊英文中學(Band 1A):2人; 聖馬可中學(Band 1A):7人; 香港真光中學(Band 1B):3人
丹拿山循道學校,2025,72,27,37.5%,庇理羅士女子中學(Band 1A):2人; 張祝珊英文中學(Band 1A):2人; 香港中國婦女會中學(Band 1A):1人; 聖馬可中學(Band 1A):2人; 港大同學會書院(Band 1A):2人
基督教聖約教會堅樂小學,2025,120,30,25.0%,聖言中學(Band 1A):1人; 寶血會上智英文書院(Band 1A):1人; 觀塘瑪利諾書院(Band 1B):3人; 藍田聖保祿中學(Band 1B):2人; 聖傑靈女子中學(Band 1B):1人
新界婦孺福利會梁省德學校,2025,96,16,16.67%,聖保羅書院(Band 1A):1人; 迦密柏雨中學(Band 1A):1人; 聖公會莫壽增會督中學(Band 1A):2人; 王肇枝中學(Band 1B):3人; 恩主教書院(Band 1B):4人
香港潮商學校,2025,96,32,33.33%,香港中國婦女會中學(Band 1A):1人; 英皇書院(Band 1A):2人; 聖士提反女子中學(Band 1A):3人; 英華女學校(Band 1A):2人; 瑪利曼中學(Band 1B):1人
聖公會主愛小學,2025,120,55,45.83%,佛教善德英文中學(Band 1A):5人; 荃灣官立中學(Band 1A):2人; 協恩中學(Band 1A):1人; 沙田崇真中學(Band 1A):1人; 中華傳道會安柱中學(Band 1B):13人
港九街坊婦女會孫方中小學,2025,96,46,47.92%,聖公會莫壽增會督中學(Band 1A):7人; 迦密柏雨中學(Band 1A):6人; 喇沙書院(Band 1A):1人; 聖保羅書院(Band 1A):1人; 王肇枝中學(Band 1B):6人
上水惠州公立學校,2025,120,61,50.83%,香港道教聯合會鄧顯紀念中學(Band 1A):21人; 協恩中學(Band 1A):1人; 德望中學(Band 1A):1人; 迦密柏雨中學(Band 1A):1人; 聖公會莫壽增會督中學(Band 1A):2人
聖公會嘉福榮真小學,2025,96,47,48.96%,香港道教聯合會鄧顯紀念中學(Band 1A):6人; 迦密柏雨中學(Band 1A):1人; 聖公會莫壽增會督中學(Band 1A):5人; 聖公會曾肇添中學(Band 1A):1人; 東華三院甲寅年總理中學(Band 1B):7人
大角嘴天主教小学,2025,120,49,40.83%,庇理罗士女子中学(Band 1A):1人; 宝血会上智英文书院(Band 1A):1人; 英华书院(Band 1A):1人; 旅港开平商会中学(Band 1A):1人; 华英中学(Band 1A):1人
柴灣角天主教小學,2024,96,42,43.75%,聖保祿學校(Band 1A):1人; 聖保羅書院(Band 1A):1人; 荃灣官立中學(Band 1A):5人; 華仁書院(九龍)(Band 1B):1人; 可風中學(嗇色園主辦)(Band 1B):2人
柴灣角天主教小學,2025,96,43,44.79%,瑪利諾修院學校(Band 1A):2人; 荃灣官立中學(Band 1A):5人; 可風中學(嗇色園主辦)(Band 1B):4人; 寶安商會王少清中學(Band 1B):10人; 荃灣公立何傳耀紀念中學(Band 1B):9人
聖公會基德小學,2023,96,36,37.5%,喇沙書院(Band 1A):1人; 保良局第一張永慶中學(Band 1A):1人; 何明華會督銀禧中學(Band 1B):2人; 中華基督教會協和書院(Band 1B):12人; 保良局何蔭棠中學(Band 1B):3人
聖公會基德小學,2024,96,38,39.58%,英華書院(Band 1A):1人; 保良局第一張永慶中學(Band 1A):3人; 優才(楊殷有娣)書院(Band 1B):1人; 何明華會督銀禧中學(Band 1B):1人; 中華基督教會協和書院(Band 1B):9人
聖嘉祿學校,2025,48,18,37.5%,英皇書院(Band 1A):3人; 聖士提反女子中學(Band 1A):4人; 聖若瑟書院(Band 1B):1人; 聖嘉勒女書院(Band 1B):3人; 高主教書院(Band 1B):1人
東華三院馬錦燦紀念小學,2025,144,57,39.58%,聖公會莫壽增中學(Band 1A):1人; 拔萃女書院(Band 1A):1人; 瑪利諾修院學校(中學部)(Band 1A):1人; 香港道教聯合會鄧顯紀念中學(Band 1A):10人; 旅港開平商會中學(Band 1A):1人
伊利沙伯中學舊生會小學,2025,120,15,12.5%,天主教崇德英文书院(Band 1A):1人; 保良局百周年李兆忠纪念中学(Band 1A):1人; 新界乡议局元朗区中学(Band 1B):1人; 元朗信义中学(Band 1B):2人; 寶安商會王少清中學(Band 1B):1人
天主教善導小學,2025,96,43,44.79%,寶血會上智英文書院(Band 1A):5人; 荃灣官立中學(Band 1A):1人; 培僑書院(Band 1A):1人; 中華基督教會銘賢書院(Band 1B):16人; 香港四邑商工總會黃棣珊紀念中學(Band 1B):5人
聖公會主愛小學（梨木樹）,2025,72,30,41.67%,荃灣官立中學(Band 1A):2人; 佛教善德英文中學(Band 1A):4人; 荃灣公立何傳耀紀念中學(Band 1B):5人; 保祿六世書院(Band 1B):2人; 寶安商會王少清中學(Band 1B):1人
鳳溪創新小學,2025,96,30,31.25%,香港道教聯合會鄧顯紀念中學(Band 1A):2人; 聖公會莫壽增會督中學(Band 1A):1人; 東華三院甲寅年總理中學(Band 1B):8人; 田家炳中學(Band 1B):1人; 風采中學(教育評議會主辦)(Band 1B):8人
香港道教聯合會圓玄學院陳呂重德紀念學校,2025,120,34,28.33%,聖言中學(Band 1A):4人; 喇沙書院(Band 1A):1人; 張祝珊英文中學(Band 1A):1人; 香港中國婦女會中學(Band 1A):1人; 藍田聖保祿中學(Band 1B):5人
聖公會何澤芸小學,2024,120,33,27.5%,佛教善德英文中學(Band 1A):1人; 荃灣官立中學(Band 1A):1人; 中華傳道會安柱中學(Band 1B):8人; 天主教母佑會蕭明中學(Band 1B):1人; 可風中學(嗇色園主辦)(Band 1B):1人
聖公會何澤芸小學,2025,120,36,30.0%,協恩中學(Band 1A):1人; 德望學校(Band 1A):1人; 荃灣官立中學(Band 1A):1人; 佛教善德英文中學(Band 1A):4人; 中華傳道會安柱中學(Band 1B):6人
東華三院鄧肇堅小學,2025,120,34,28.33%,協恩中學(Band 1A):1人; 保良局百周年李兆忠紀念中學(Band 1A):1人; 順德聯誼總會梁銶琚中學(Band 1A):3人; 聖士提反書院(Band 1B):1人; 香港九龍塘基督教中華宣道會陳瑞芝紀念中學(Band 1B):5人
保良局田家炳千禧小學,2025,120,29,24.17%,英華書院(Band 1A):1人; 聖公會曾肇添中學(Band 1A):1人; 聖公會莫壽增會督中學(Band 1A):8人; 迦密柏雨中學(Band 1A):3人; 保良局顏寶鈴書院(Band 1B):1人
聖公會牧愛小學,2024,48,20,41.67%,庇理羅士女子中學(Band 1A):1人; 協恩中學(Band 1A):1人; 張祝珊英文中學(Band 1A):1人; 華英中學(Band 1A):1人; 迦密中學(Band 1A):1人
聖公會牧愛小學,2025,48,15,31.25%,華英中學(Band 1A):2人; 迦密中學(Band 1A):2人; 旅港開平商會中學(Band 1A):1人; 聖言中學(Band 1A):1人; 伊利沙伯中學(Band 1B):1人
佛教中華康山學校,2023,96,25,26.04%,聖馬可中學(Band 1A):4人; 張祝珊英文中學(Band 1A):2人; 香港中國婦女會中學(Band 1A):3人; 港大同學會書院(Band 1A):1人; 民生書院​​(Band 1B):0人
佛教中華康山學校,2024,96,21,21.88%,聖馬可中學(Band 1A):5人; 香港中國婦女會中學(Band 1A):3人; 張祝珊英文中學(Band 1A):1人; 庇理羅士女子中學(Band 1A):1人; 港島民生書院(Band 1B):5人
石湖墟公立學校,2025,96,37,38.54%,香港道教聯合會鄧顯紀念中學(Band 1A):8人; 迦密中學(Band 1A):1人; 東華三院甲寅年總理中學(Band 1B):9人; 田家炳中學(Band 1B):1人; 風采中學（教育評議會主辦）(Band 1B):5人
香港道教聯合會圓玄學院石圍角小學,2025,72,29,40.28%,荃灣官立中學(Band 1A):2人; 佛教善德英文中學(Band 1A):2人; 荃灣公立何傳耀紀念中學(Band 1B):11人; 保祿六世書院(Band 1B):1人; 中華傳道會安柱中學(Band 1B):1人
祖堯天主教小學,2025,96,36,37.5%,聖公會林護紀念中學(Band 1A):2人; 佛教善德英文中學(Band 1A):2人; 荃灣官立中學(Band 1A):2人; 天主教母佑會蕭明中學(Band 1B):2人; 中華傳道會安柱中學(Band 1B):3人
佛教林炳炎紀念學校（香港佛教聯合會主辦）,2025,72,13,18.06%,聖公會林護紀念中學(Band 1A):1人; 佛教善德英文中學(Band 1A):2人; 天主教母佑會蕭明中學(Band 1B):4人; 保祿六世書院(Band 1B):2人; 中華傳道會安柱中學(Band 1B):1人
靈光小學,2025,95,30,31.58%,浸信會呂明才中學(Band 1A):1人; 荃灣官立中學(Band 1A):2人; 基督教崇真中學(Band 1B):3人; 香港神託會培基書院(Band 1B):3人; 聖瑪加利男女英文中小學(Band 1B):1人
柏立基教育學院校友會盧光輝紀念學校,2025,96,16,16.67%,佛教善德英文中學(Band 1A):2人; 聖公會林護紀念中學(Band 1A):1人; 天主教母佑會蕭明中學(Band 1B):2人; 順德聯誼總會李兆基中學(Band 1C):7人; 東華三院陳兆民中學(Band 1C):4人
李陞小學,2024,48,15,31.25%,皇仁書院(Band 1A):1人; 英皇書院(Band 1A):10人; 庇理羅士女子中學(Band 1A):2人; 聖嘉勒女書院(Band 1B):2人; 金文泰中學(Band 2B):5人
打鼓嶺嶺英公立學校,2025,72,16,22.22%,香港道教聯合會鄧顯紀念中學(Band 1A):2人; 聖公會莫壽增會督中學(Band 1A):2人; 浸信會呂明才中學(Band 1A):2人; 華英中學(Band 1A):1人; 優才(楊殷有娣)書院(Band 1B):2人
林村公立黃福鑾紀念學校,2025,96,28,29.17%,聖言中學(Band 1A):1人; 沙田崇真中學(Band 1A):1人; 迦密柏雨中學(Band 1A):6人; 聖公會莫壽增會督中學(Band 1A):3人; 仁愛堂田家炳中學(Band 1B):1人
慈航學校,2024,120,30,25.0%,聖公會曾肇添中學(Band 1A):6人; 沙田崇真中學(Band 1A):4人; 浸信會呂明才中學(Band 1A):0人; 喇沙書院(Band 1A):0人; 英華女學校(Band 1A):1人
慈航學校,2025,120,29,24.17%,喇沙書院(Band 1A):1人; 聖公會曾肇添中學(Band 1A):3人; 沙田崇真中學(Band 1A):1人; 沙田蘇浙公學(Band 1B):7人; 沙田培英中學(Band 1B):4人
聖公會聖多馬小學,2025,72,24,33.33%,聖公會林護紀念中學(Band 1A):1人; 迦密中學(Band 1A):1人; 中華基督教會銘賢書院(Band 1B):7人; 香港四邑商工總會黃棣珊紀念中學(Band 1B):6人; 基督教崇真中學(Band 1B):1人
東華三院李東海小學,2025,72,18,25.0%,天主教崇德英文書院(Band 1A):1人; 順德聯誼總會梁銶琚中學(Band 1A):1人; 基督教香港信義會元朗信義中學(Band 1B):6人; 新界鄉議局元朗區中學(Band 1B):1人; 香港九龍塘基督教中華宣道會陳瑞芝紀念中學(Band 1B):1人
中華基督教會何福堂小學,2025,96,26,27.08%,順德聯誼總會梁銶琚中學(Band 1A):2人; 保良局百周年李兆忠紀念中學(Band 1A):1人; 保良局董玉娣中學(Band 1A):2人; 香港九龍塘基督教中華宣道會陳瑞芝紀念中學(Band 1B):5人; 馬錦明慈善基金馬可賓紀念中學(Band 1B):8人
官立嘉道理爵士小學,2024,72,18,25.0%,皇仁書院(Band 1A):2人; 聖士提反女子中學(Band 1A):1人; 聖馬可中學(Band 1A):1人; 聖保祿中學(Band 1B):2人; 香港真光中學(Band 1B):3人
官立嘉道理爵士小學,2025,72,18,25.0%,皇仁書院(Band 1A):6人; 聖保祿中學(Band 1B):3人; 香港真光中學(Band 1B):3人; 瑪利曼中學(Band 1B):1人; 高主教書院(Band 1B):1人
大埔浸信會公立學校,2025,144,28,19.44%,迦密柏雨中學(Band 1A):4人; 聖公會莫壽增會督中學(Band 1A):4人; 匯基書院（東九龍）(Band 1B):2人; 香港神託會培基書院(Band 1B):3人; 王肇枝中學(Band 1B):7人
潮陽百欣小學,2025,120,27,22.5%,香港道教聯合會鄧顯紀念中學(Band 1A):1人; 天主教崇德英文書院(Band 1A):3人; 新界鄉議局元朗區中學(Band 1B):1人; 馬錦明慈善基金馬可賓紀念中學(Band 1B):1人; 基督教香港信義會元朗信義中學(Band 1B):1人
香港青年協會李兆基小學,2025,120,27,22.5%,香港道教聯合會鄧顯紀念中學(Band 1A):1人; 天主教崇德英文書院(Band 1A):3人; 新界鄉議局元朗區中學(Band 1B):1人; 馬錦明慈善基金馬可賓紀念中學(Band 1B):1人; 基督教香港信義會元朗信義中學(Band 1B):1人
北角循道學校,2025,96,14,14.58%,香港中國婦女會中學(Band 1A):3人; 聖馬可中學(Band 1A):3人; 中華基金中學(Band 1B):3人; 基督教宣道會宣基中學(Band 1B):1人; 嘉諾撒書院(Band 1C):2人
仁濟醫院蔡衍濤小學,2025,96,25,26.04%,迦密柏雨中学(Band 1A):2人; 圣公会莫寿增会督中学(Band 1A):2人; 沙田崇真中学(Band 1A):1人; 王肇枝中学(Band 1B):7人; 恩主教书院(Band 1B):9人
十八鄉鄉事委員會公益社小學,2025,120,28,23.33%,香港道教联合会邓显纪念中学(Band 1A):1人; 基督教香港信义会元朗信义中学(Band 1B):7人; 新界乡议局元朗区中学(Band 1B):2人; 元朗商会中学(Band 1C):9人; 香港青年协会李兆基书院(Band 1C):4人
宣道會葉紹蔭紀念小學,2025,120,26,21.67%,英華書院(Band 1A):1人; 寶安商會王少清中學(Band 1B):1人; 基督教崇真中學(Band 1B):2人; 仁愛堂田家炳中學(Band 1B):1人; 馬錦明慈善基金馬可賓紀念中學(Band 1B):1人
中華基督教會全完第二小學,2025,72,17,23.61%,佛教善德英文中學(Band 1A):2人; 中華傳道會安柱中學(Band 1B):1人; 天主教母佑會蕭明中學(Band 1B):5人; 保祿六世書院(Band 1B):1人; 沙田培英中學(Band 1B):1人
長洲聖心學校,2025,48,10,20.83%,庇理羅士女子中學(Band 1A):1人; 聖嘉勒女書院(Band 1B):1人; 香港真光中學(Band 1B):2人; 高主教書院(Band 1B):1人; 中華基金中學(Band 1B):2人
荃灣商會學校,2024,48,16,33.33%,英皇書院(Band 1A):1人; 保良局羅傑承(一九八三)中學(Band 1B):3人; 中華傳道會安柱中學(Band 1B):1人; 天主教母佑會蕭明中學(Band 1B):8人; 荃灣公立何傳耀紀念中學(Band 1B):1人
荃灣商會學校,2025,48,5,10.42%,保良局羅傑承(一九八三)中學(Band 1B):1人; 天主教母佑會蕭明中學(Band 1B):1人; 荃灣公立何傳耀紀念中學(Band 1B):1人; 東華三院陳兆民中學(Band 1C):1人; 香港青年協會李兆基書院(Band 1C):1人
嗇色園主辦可銘學校,2025,72,13,18.06%,新界鄉議局元朗區中學(Band 1B):1人; 基督教香港信義會元朗信義中學(Band 1B):2人; 風采中學(Band 1B):1人; 趙聿修紀念中學(Band 1C):1人; 聖公會白約翰會督中學(Band 1C):1人
元朗公立中學校友會鄧英業小學,2025,120,18,15.0%,保良局百周年李兆忠紀念中學(Band 1A):1人; 華仁書院(Band 1B):1人; 新界鄉議局元朗區中學(Band 1B):2人; 仁愛堂田家炳中學(Band 1B):1人; 保良局何蔭棠中學(Band 1B):2人
